cell_id,small_mul,large_mul,threshold,area,start_year,end_year,change_f1,fom,transition_accuracy,allocation_disagreement,tp,fp,fn,tn,n_valid
2,1.0,2.0,50000,xilingol_grassland_margin_holdout,2020,2021,0.27692307692307694,0.16071428571428573,0.21621621621621623,0.08514492753623189,9,19,28,496,552
2,1.0,2.0,50000,xinxiang_floodplain_newtown_holdout,2020,2021,0.1142857142857143,0.06060606060606061,0.14285714285714285,0.05615942028985507,2,26,5,519,552
2,1.0,2.0,50000,xiong_an_fringe_holdout,2020,2021,0.19108280254777069,0.1056338028169014,0.112,0.23007246376811594,15,17,110,410,552
2,1.0,2.0,50000,xiongxian_river_corridor_holdout,2020,2021,0.03508771929824562,0.017857142857142856,0.03571428571428571,0.09963768115942029,1,28,27,496,552
2,1.0,2.0,50000,yancheng_coastal_new_district_holdout,2020,2021,0.17142857142857143,0.09375,0.1282051282051282,0.10104529616724739,6,25,33,510,574
2,1.0,2.0,50000,zhalong_wetland_edge_holdout,2020,2021,0.19834710743801653,0.11009174311926606,0.11235955056179775,0.1833648393194707,12,20,77,420,529
3,1.0,2.0,70000,baiyangdian_new_area_holdout,2020,2021,0.18045112781954886,0.09917355371900827,0.12857142857142856,0.19746376811594202,12,51,58,431,552
3,1.0,2.0,70000,banzhucun,2017,2020,0.3288978004617815,0.19681489292077228,0.2061354207116434,0.300108685807445,16239,33580,32690,138311,220820
3,1.0,2.0,70000,banzhucun,2020,2023,0.43381887270424313,0.2769915082895269,0.20888433912868362,0.2753011502581288,23290,24494,36298,136738,220820
3,1.0,2.0,70000,beibu_gulf_urban_holdout,2020,2021,0.24074074074074076,0.1368421052631579,0.18333333333333332,0.14855072463768115,13,35,47,457,552
3,1.0,2.0,70000,bishan,2017,2018,0.22138836772983117,0.12447257383966245,0.1158357771260997,0.17697228144989338,118,266,564,3742,4690
3,1.0,2.0,70000,bishan,2018,2019,0.2685990338164251,0.15513392857142858,0.1676829268292683,0.16140724946695095,139,240,517,3794,4690
3,1.0,2.0,70000,bishan,2019,2020,0.20765027322404372,0.11585365853658537,0.12059620596205962,0.18550106609808104,114,246,624,3706,4690
3,1.0,2.0,70000,bishan,2020,2021,0.22598870056497175,0.12738853503184713,0.11894273127753303,0.17526652452025587,120,261,561,3748,4690
3,1.0,2.0,70000,bishan,2021,2022,0.17407071622846781,0.09533267130089375,0.06162464985994398,0.19424307036247335,96,293,618,3683,4690
3,1.0,2.0,70000,bishan,2022,2023,0.3444354183590576,0.20804710500490678,0.16005873715124816,0.1720682302771855,212,338,469,3671,4690
3,1.0,2.0,70000,bishan,2023,2024,0.17061611374407581,0.09326424870466321,0.06382978723404255,0.1865671641791045,90,354,521,3725,4690
3,1.0,2.0,70000,changbai_margin_holdout,2020,2021,0.10526315789473684,0.05555555555555555,1.0,0.03213610586011342,1,17,0,511,529
3,1.0,2.0,70000,dabie_forest_edge_holdout,2020,2021,0.16326530612244897,0.08888888888888889,0.13043478260869565,0.07750472589792061,4,22,19,484,529
3,1.0,2.0,70000,dongting_lake_holdout,2020,2021,0.5045045045045045,0.3373493975903614,0.1527777777777778,0.10396975425330812,28,11,44,446,529
3,1.0,2.0,70000,erlong_lake_margin_holdout,2020,2021,0.0909090909090909,0.047619047619047616,0.05555555555555555,0.11342155009451796,3,27,33,466,529
3,1.0,2.0,70000,ezhou_lakeside_expansion_holdout,2020,2021,0.19444444444444445,0.1076923076923077,0.1590909090909091,0.10507246376811594,7,21,37,487,552
3,1.0,2.0,70000,fuzhou_delta_urban_holdout,2020,2021,0.5405405405405405,0.37037037037037035,0.8181818181818182,0.03213610586011342,10,16,1,502,529
3,1.0,2.0,70000,haibei_plateau_holdout,2020,2021,0.16216216216216214,0.08823529411764706,0.2727272727272727,0.05860113421550094,3,23,8,495,529
3,1.0,2.0,70000,hengshui_lake_urban_edge_holdout,2020,2021,0.2,0.1111111111111111,0.2857142857142857,0.06049149338374291,4,22,10,493,529
3,1.0,2.0,70000,heping,2017,2020,0.3333931584048243,0.20004307559767392,0.13207485971911387,0.2021927532444909,9288,15599,21543,137266,183696
3,1.0,2.0,70000,hexi_irrigation_holdout,2020,2021,0.13333333333333333,0.07142857142857142,0.2,0.024574669187145556,1,9,4,515,529
3,1.0,2.0,70000,honghu_lake_margin_holdout,2020,2021,0.41666666666666663,0.2631578947368421,0.4090909090909091,0.052930056710775046,10,16,12,491,529
3,1.0,2.0,70000,huaibei_irrigation_plain_holdout,2020,2021,0.14634146341463417,0.07894736842105263,0.21428571428571427,0.0661625708884688,3,24,11,491,529
3,1.0,2.0,70000,hulun_grassland_margin_holdout,2020,2021,0.3564356435643564,0.21686746987951808,0.2857142857142857,0.12287334593572778,18,27,38,446,529
3,1.0,2.0,70000,jiangmen_estuary_newtown_holdout,2020,2021,0.17391304347826086,0.09523809523809523,0.2222222222222222,0.06884057971014493,4,24,14,510,552
3,1.0,2.0,70000,jiaxing_ring_urban_holdout,2020,2021,0.17910447761194032,0.09836065573770492,0.14634146341463414,0.10396975425330812,6,20,35,468,529
3,1.0,2.0,70000,kunshan_dense_edge_holdout,2020,2021,0.32727272727272727,0.1956521739130435,0.3333333333333333,0.06702898550724638,9,19,18,506,552
3,1.0,2.0,70000,liaohe_delta_wetland_holdout,2020,2021,0.13559322033898305,0.07272727272727272,0.04838709677419355,0.19281663516068054,8,48,54,419,529
3,1.0,2.0,70000,nanling_forest_edge_holdout,2020,2021,0.10169491525423728,0.05357142857142857,0.1,0.1001890359168242,3,26,27,473,529
3,1.0,2.0,70000,nanning_fringe_holdout,2020,2021,0.36220472440944884,0.22115384615384615,0.1927710843373494,0.15311909262759923,23,21,60,425,529
3,1.0,2.0,70000,ningbo_inner_bay_edge_holdout,2020,2021,0.0851063829787234,0.044444444444444446,0.0,0.08128544423440454,2,24,19,484,529
