area,step,persistence,model,advantage
chengdu_plain,5,0.9299903512001038,0.8447296619415283,-0.08526068925857544
chengdu_plain,6,0.934347927570343,0.815500020980835,-0.11884790658950806
daxinganling,1,0.9429706335067749,0.9287744164466858,-0.014196217060089111
daxinganling,2,0.9427602887153625,0.8885129690170288,-0.05424731969833374
daxinganling,3,0.9436023831367493,0.8383981585502625,-0.10520422458648682
daxinganling,4,0.9326449632644653,0.7781394124031067,-0.15450555086135864
daxinganling,5,0.9365701079368591,0.7110648155212402,-0.2255052924156189
daxinganling,6,0.9357845783233643,0.6141284704208374,-0.32165610790252686
dongting_wetland,1,0.9445451498031616,0.9389876127243042,-0.005557537078857422
dongting_wetland,2,0.9368603229522705,0.9258280992507935,-0.01103222370147705
dongting_wetland,3,0.9164130091667175,0.8982291221618652,-0.018183887004852295
dongting_wetland,4,0.919174075126648,0.8884824514389038,-0.03069162368774414
dongting_wetland,5,0.9021924734115601,0.8653411865234375,-0.03685128688812256
dongting_wetland,6,0.8922814726829529,0.8376263976097107,-0.05465507507324219
erhai_lake_margin,1,0.9836323857307434,0.9726122617721558,-0.011020123958587646
erhai_lake_margin,2,0.9674899578094482,0.927075982093811,-0.04041397571563721
erhai_lake_margin,3,0.9743137359619141,0.8923102617263794,-0.08200347423553467
erhai_lake_margin,4,0.9426808953285217,0.8127655386924744,-0.12991535663604736
erhai_lake_margin,5,0.9232778549194336,0.7330936789512634,-0.19018417596817017
erhai_lake_margin,6,0.9495149850845337,0.6737666726112366,-0.2757483124732971
gobi_margin,1,0.989402711391449,0.9371017217636108,-0.052300989627838135
gobi_margin,2,0.9861354231834412,0.9101299047470093,-0.07600551843643188
gobi_margin,3,0.9712129831314087,0.8043925762176514,-0.16682040691375732
gobi_margin,4,0.977971613407135,0.6884569525718689,-0.2895146608352661
gobi_margin,5,0.9780517816543579,0.5815945267677307,-0.3964572548866272
gobi_margin,6,0.9764066338539124,0.4886173605918884,-0.4877892732620239
guanzhong,1,0.9839255809783936,0.9655801057815552,-0.01834547519683838
guanzhong,2,0.978423535823822,0.959327757358551,-0.019095778465270996
guanzhong,3,0.9766971468925476,0.9419312477111816,-0.03476589918136597
guanzhong,4,0.9692944884300232,0.9123203158378601,-0.056974172592163086
guanzhong,5,0.971531093120575,0.8988749980926514,-0.07265609502792358
guanzhong,6,0.9693074822425842,0.8437480330467224,-0.12555944919586182
guizhou_karst,1,0.9659095406532288,0.9556557536125183,-0.01025378704071045
guizhou_karst,2,0.9732006192207336,0.9190888404846191,-0.0541117787361145
guizhou_karst,3,0.9645527005195618,0.8902453184127808,-0.074307382106781
guizhou_karst,4,0.9617459774017334,0.8605495691299438,-0.10119640827178955
guizhou_karst,5,0.9592286348342896,0.8168166875839233,-0.1424119472503662
guizhou_karst,6,0.9509783983230591,0.8283476233482361,-0.122630774974823
hainan_coastal,1,0.9503248929977417,0.9504110217094421,8.612871170043945e-05
hainan_coastal,2,0.9562160968780518,0.9436454176902771,-0.012570679187774658
hainan_coastal,3,0.9525283575057983,0.9140537977218628,-0.03847455978393555
hainan_coastal,4,0.9517771601676941,0.8752849698066711,-0.07649219036102295
hainan_coastal,5,0.9473245739936829,0.8013414144515991,-0.14598315954208374
hainan_coastal,6,0.9527379870414734,0.7546105980873108,-0.1981273889541626
hetao,1,0.976047694683075,0.9611384868621826,-0.014909207820892334
hetao,2,0.969939649105072,0.9394474625587463,-0.030492186546325684
hetao,3,0.9672364592552185,0.8735815286636353,-0.09365493059158325
hetao,4,0.9531329870223999,0.8433501720428467,-0.10978281497955322
hetao,5,0.9425476789474487,0.7782800197601318,-0.1642676591873169
hetao,6,0.945379912853241,0.7305588126182556,-0.21482110023498535
jianghan_plain,1,0.9261372685432434,0.9281738996505737,0.0020366311073303223
jianghan_plain,2,0.9242428541183472,0.9243934750556946,0.0001506209373474121
jianghan_plain,3,0.9108767509460449,0.8872763514518738,-0.023600399494171143
jianghan_plain,4,0.9156941175460815,0.8895524144172668,-0.026141703128814697
jianghan_plain,5,0.8933191895484924,0.8758187294006348,-0.017500460147857666
jianghan_plain,6,0.9022402763366699,0.8614833354949951,-0.040756940841674805
jing_jin_ji,1,0.9854736328125,0.9781889915466309,-0.007284641265869141
jing_jin_ji,2,0.9839988350868225,0.9576356410980225,-0.02636319398880005
jing_jin_ji,3,0.9837725162506104,0.9330899715423584,-0.05068254470825195
jing_jin_ji,4,0.9726124405860901,0.9113638401031494,-0.061248600482940674
